Linea 1: 30, 71 -> 7 | 7 = 77
Linea 57: 22, 39 -> 8 | 8 = 88
Linea 58: 10, 23 -> 9 | 9 = 99
Linea 59: 17, 55 -> 8 | 8 = 88
Linea 60: 84, 84 -> 7 | 5 = 75
Linea 61: 55, 98 -> 8 | 9 = 89
Linea 62: 25, 83 -> 9 | 7 = 97
Linea 63: 1, 7 -> 9 | 9 = 99
Linea 64: 83, 92 -> 9 | 7 = 97
Linea 65: 5, 8 -> 9 | 9 = 99
Linea 66: 68, 75 -> 7 | 5 = 75
Linea 67: 53, 64 -> 9 | 8 = 98
Linea 68: 26, 44 -> 6 | 6 = 66
Linea 69: 52, 93 -> 9 | 9 = 99
Linea 70: 13, 13 -> 9 | 9 = 99
Linea 71: 42, 44 -> 8 | 8 = 88
Linea 72: 38, 38 -> 5 | 4 = 54
Linea 73: 39, 92 -> 6 | 6 = 66
Linea 74: 3, 7 -> 9 | 9 = 99
Linea 75: 74, 77 -> 8 | 5 = 85
Linea 76: 1, 83 -> 7 | 7 = 77
Linea 77: 34, 64 -> 7 | 7 = 77
Linea 78: 73, 82 -> 8 | 7 = 87
Linea 79: 35, 50 -> 7 | 7 = 77
Linea 80: 48, 63 -> 8 | 6 = 86
Linea 81: 8, 15 -> 9 | 9 = 99
Linea 82: 82, 83 -> 9 | 5 = 95
Linea 83: 98, 98 -> 8 | 9 = 89
Linea 84: 98, 98 -> 9 | 2 = 92
Linea 85: 98, 98 -> 8 | 9 = 89
Linea 86: 5, 56 -> 9 | 9 = 99
Linea 87: 60, 71 -> 8 | 5 = 85
Linea 88: 41, 81 -> 9 | 8 = 98
Linea 89: 31, 40 -> 6 | 4 = 64
Linea 90: 11, 80 -> 9 | 9 = 99
Linea 91: 98, 98 -> 8 | 9 = 89
Linea 92: 77, 80 -> 8 | 5 = 85
Linea 93: 24, 72 -> 9 | 7 = 97
Linea 94: 9, 28 -> 7 | 6 = 76
Linea 95: 88, 91 -> 7 | 5 = 75
Linea 96: 18, 27 -> 8 | 6 = 86
Linea 97: 34, 36 -> 9 | 5 = 95
Linea 98: 37, 53 -> 8 | 7 = 87
Linea 99: 39, 64 -> 9 | 9 = 99
Linea 100: 15, 76 -> 9 | 9 = 99
Linea 101: 42, 74 -> 9 | 8 = 98
Linea 102: 17, 21 -> 8 | 8 = 88
Linea 103: 13, 45 -> 3 | 3 = 33
Linea 104: 24, 54 -> 9 | 9 = 99
Linea 105: 30, 40 -> 7 | 7 = 77
Linea 106: 62, 68 -> 9 | 8 = 98
Linea 107: 96, 96 -> 8 | 2 = 82
Linea 108: 60, 77 -> 5 | 4 = 54
Linea 109: 3, 8 -> 5 | 5 = 55
Linea 110: 9, 34 -> 6 | 5 = 65
Linea 111: 63, 80 -> 8 | 7 = 87
Linea 112: 16, 36 -> 4 | 4 = 44
Linea 113: 46, 69 -> 8 | 8 = 88
Linea 114: 19, 81 -> 8 | 7 = 87
Linea 115: 7, 93 -> 6 | 6 = 66
Linea 116: 83, 91 -> 9 | 5 = 95
Linea 117: 29, 31 -> 6 | 6 = 66
Linea 118: 44, 57 -> 9 | 9 = 99
Linea 119: 16, 92 -> 8 | 8 = 88
Linea 120: 40, 96 -> 6 | 6 = 66
Linea 121: 59, 92 -> 9 | 7 = 97
Linea 122: 62, 76 -> 9 | 9 = 99
Linea 123: 79, 79 -> 9 | 6 = 96
Linea 124: 14, 59 -> 8 | 8 = 88
Linea 125: 35, 36 -> 9 | 7 = 97
Linea 126: 70, 90 -> 7 | 5 = 75
Linea 127: 12, 22 -> 7 | 5 = 75
Linea 128: 36, 53 -> 7 | 6 = 76
Linea 129: 7, 31 -> 8 | 8 = 88
Linea 130: 25, 28 -> 7 | 5 = 75
Linea 131: 19, 55 -> 9 | 8 = 98
Linea 132: 67, 81 -> 7 | 7 = 77
Linea 133: 16, 31 -> 4 | 4 = 44
Linea 134: 3, 27 -> 5 | 5 = 55
Linea 135: 29, 40 -> 9 | 9 = 99
Linea 136: 42, 72 -> 9 | 9 = 99
Linea 137: 93, 98 -> 9 | 9 = 99
Linea 138: 78, 89 -> 9 | 7 = 97
Linea 139: 69, 96 -> 9 | 9 = 99
Linea 140: 1, 3 -> 4 | 4 = 44
Linea 141: 5, 11 -> 9 | 8 = 98
Linea 142: 15, 65 -> 8 | 6 = 86
Linea 143: 44, 68 -> 9 | 9 = 99
Linea 144: 16, 29 -> 5 | 5 = 55
Linea 145: 26, 95 -> 7 | 7 = 77
Linea 146: 17, 74 -> 9 | 7 = 97
Linea 147: 14, 17 -> 8 | 6 = 86
Linea 148: 51, 55 -> 9 | 9 = 99
Linea 149: 66, 96 -> 9 | 8 = 98
Linea 150: 56, 56 -> 8 | 8 = 88
Linea 151: 11, 47 -> 7 | 7 = 77
Linea 152: 43, 95 -> 9 | 5 = 95
Linea 153: 9, 59 -> 8 | 8 = 88
Linea 154: 58, 66 -> 6 | 5 = 65
Linea 155: 10, 69 -> 9 | 9 = 99
Linea 156: 91, 98 -> 8 | 3 = 83
Linea 157: 17, 19 -> 9 | 9 = 99
Linea 158: 23, 49 -> 9 | 8 = 98
Linea 159: 14, 40 -> 9 | 9 = 99
Linea 160: 6, 41 -> 7 | 7 = 77
Linea 161: 20, 27 -> 9 | 7 = 97
Linea 162: 3, 98 -> 6 | 7 = 67
Linea 163: 6, 55 -> 8 | 8 = 88
Linea 164: 11, 39 -> 9 | 8 = 98
Linea 165: 19, 52 -> 9 | 9 = 99
Linea 166: 15, 71 -> 7 | 7 = 77
Linea 167: 9, 22 -> 9 | 8 = 98
Linea 168: 28, 31 -> 8 | 7 = 87
Linea 169: 36, 56 -> 9 | 8 = 98
Linea 170: 38, 61 -> 9 | 8 = 98
Linea 171: 23, 93 -> 9 | 9 = 99
Linea 172: 45, 52 -> 9 | 9 = 99
Linea 173: 8, 59 -> 8 | 8 = 88
Linea 174: 6, 65 -> 9 | 9 = 99
Linea 175: 54, 78 -> 7 | 7 = 77
Linea 176: 29, 40 -> 8 | 8 = 88
Linea 177: 21, 27 -> 9 | 9 = 99
Linea 178: 41, 46 -> 5 | 5 = 55
Linea 179: 23, 32 -> 7 | 7 = 77
Linea 180: 98, 98 -> 8 | 9 = 89
Linea 181: 76, 81 -> 9 | 6 = 96
Linea 182: 66, 98 -> 8 | 9 = 89
Linea 183: 97, 97 -> 6 | 2 = 62
Linea 184: 13, 52 -> 9 | 9 = 99
Linea 185: 60, 60 -> 9 | 9 = 99
Linea 186: 39, 47 -> 6 | 3 = 63
Linea 187: 26, 50 -> 8 | 8 = 88
Linea 188: 9, 51 -> 8 | 7 = 87
Linea 189: 71, 77 -> 9 | 8 = 98
Linea 190: 29, 61 -> 8 | 6 = 86
Linea 191: 23, 44 -> 4 | 3 = 43
Linea 192: 67, 91 -> 8 | 7 = 87
Linea 193: 6, 8 -> 9 | 9 = 99
Linea 194: 84, 89 -> 8 | 4 = 84
Linea 195: 28, 70 -> 9 | 9 = 99
Linea 196: 96, 96 -> 9 | 2 = 92
Linea 197: 75, 87 -> 9 | 7 = 97
Linea 198: 37, 80 -> 9 | 9 = 99
Linea 199: 38, 76 -> 9 | 8 = 98
Linea 200: 17, 76 -> 7 | 7 = 77
